N¼,Nombre,Total,Por mil (ä)
736,MARTHA YANETH,25,"0,155"
737,MARY,25,"0,155"
738,MONICA LORENA,25,"0,155"
739,NAHIARA,25,"0,155"
740,NORA,25,"0,155"
741,NURY,25,"0,155"
742,PATRICIA ELENA,25,"0,155"
743,PAULA CAMILA,25,"0,155"
744,SANDRA JANETH,25,"0,155"
745,SANDRA LUCIA,25,"0,155"
746,SILVIA PATRICIA,25,"0,155"
747,SINDY LORENA,25,"0,155"
748,YESSICA PAOLA,25,"0,155"
749,YUDY ANDREA,25,"0,155"
750,ADRIANA PILAR,24,"0,149"
751,ANA GABRIELA,24,"0,149"
752,ANA TERESA,24,"0,149"
753,ANDREA ESTEFANIA,24,"0,149"
754,BIBIANA MARIA,24,"0,149"
755,BLANCA NELLY,24,"0,149"
756,DIANA SOFIA,24,"0,149"
757,GILMA,24,"0,149"
758,GLORIA MERCEDES,24,"0,149"
759,JENNYFER,24,"0,149"
760,JESSICA MARCELA,24,"0,149"
761,JOHANA MARCELA,24,"0,149"
762,LUZ MIRYAM,24,"0,149"
763,MARIA LILIA,24,"0,149"
764,MARIA MARLENY,24,"0,149"
765,MARIA PIEDAD,24,"0,149"
766,MARTHA ROCIO,24,"0,149"
767,NANCY STELLA,24,"0,149"
768,ROSAURA,24,"0,149"
769,SORAYA,24,"0,149"
770,THALIANA,24,"0,149"
771,YINA PAOLA,24,"0,149"
772,ALBA NIDIA,23,"0,143"
773,ANGIE VIVIANA,23,"0,143"
774,CAROL VIVIANA,23,"0,143"
775,DANIELA ALEXANDRA,23,"0,143"
776,DORA MARIA,23,"0,143"
777,INGRID JULIETH,23,"0,143"
778,JENNY LORENA,23,"0,143"
779,JESSICA MARIA,23,"0,143"
780,LAURA VANESA,23,"0,143"
781,LAURA VIVIANA,23,"0,143"
782,LEYDY JOHANNA,23,"0,143"
783,LUCELY,23,"0,143"
784,LUZ ADIELA,23,"0,143"
785,MAGDALENA,23,"0,143"
786,MARIA AURORA,23,"0,143"
787,MARIA ELISA,23,"0,143"
788,MARTHA LUZ,23,"0,143"
789,MARYORI,23,"0,143"
790,MATILDE,23,"0,143"
791,MELIDA,23,"0,143"
792,PAULA MARCELA,23,"0,143"
793,ROSA ANGELICA,23,"0,143"
794,ROSA INES,23,"0,143"
795,YESICA PAOLA,23,"0,143"
796,YESSICA ANDREA,23,"0,143"
797,ALEXANDRA PATRICIA,22,"0,137"
798,ANDREA PATRICIA,22,"0,137"
799,BARBARA,22,"0,137"
800,BERENICE,22,"0,137"
801,BLANCA LIBIA,22,"0,137"
802,CINDY TATIANA,22,"0,137"
803,CLEMENCIA,22,"0,137"
804,DANIELA MARIA,22,"0,137"
805,DORA PATRICIA,22,"0,137"
806,ELIANA ANDREA,22,"0,137"
807,ERIKA FERNANDA,22,"0,137"
808,INGRID PAOLA,22,"0,137"
809,IVANNA,22,"0,137"
810,KAREN DAYANNA,22,"0,137"
811,KAROL TATIANA,22,"0,137"
812,LEIDY MILENA,22,"0,137"
813,LEYDI TATIANA,22,"0,137"
814,LUCRECIA,22,"0,137"
815,LUZ MIRIAM,22,"0,137"
816,MARIA LEONOR,22,"0,137"
817,MARIA LORENA,22,"0,137"
818,MARLY,22,"0,137"
819,MELISSA ANDREA,22,"0,137"
820,NATALIA MARIA,22,"0,137"
821,ROSMIRA,22,"0,137"
822,SARA ISABEL,22,"0,137"
823,YANET,22,"0,137"
824,YESSENIA,22,"0,137"
825,ZULEIMA,22,"0,137"
826,ALBA MERY,21,"0,130"
827,ALBA RUTH,21,"0,130"
828,ANA BEATRIZ,21,"0,130"
829,ANGELA CRISTINA,21,"0,130"
830,ANGIE VALENTINA,21,"0,130"
831,BLANCA LILIANA,21,"0,130"
832,CINDY MARCELA,21,"0,130"
833,CLAUDIA ALEXANDRA,21,"0,130"
834,DANIELLA,21,"0,130"
835,DANNA GABRIELA,21,"0,130"
836,DAYANNA,21,"0,130"
837,DIANA CECILIA,21,"0,130"
838,DOLLY,21,"0,130"
839,EMILCE,21,"0,130"
840,GINNA PAOLA,21,"0,130"
841,GLORIA EDITH,21,"0,130"
842,HILARY,21,"0,130"
843,JENNIFER ALEJANDRA,21,"0,130"
844,JESSICA FERNANDA,21,"0,130"
845,JULIETH PAOLA,21,"0,130"
846,KAROL ANDREA,21,"0,130"
847,LADY DIANA,21,"0,130"
848,LEIDY JULIETH,21,"0,130"
849,LEIDY NATALIA,21,"0,130"
850,LETICIA,21,"0,130"
851,LINA TATIANA,21,"0,130"
852,MARIA BEATRIZ,21,"0,130"
853,MARIA GLADIS,21,"0,130"
854,MARIA LAURA,21,"0,130"
855,MARIA LUCELLY,21,"0,130"
856,MICHEL,21,"0,130"
857,NICOL,21,"0,130"
858,NICOL DAYANA,21,"0,130"
859,ROSALIA,21,"0,130"
860,SARA CAMILA,21,"0,130"
861,SARA JULIANA,21,"0,130"
862,SARITA,21,"0,130"
863,YENNY ALEJANDRA,21,"0,130"
864,YENNY ALEXANDRA,21,"0,130"
865,YENNY ANDREA,21,"0,130"
866,YURI,21,"0,130"
867,YURY ANDREA,21,"0,130"
868,ALAIA,20,"0,124"
869,ALBA LILIANA,20,"0,124"
870,ANA,20,"0,124"
871,ANA MARCELA,20,"0,124"
872,ANGIE ALEJANDRA,20,"0,124"
873,ASHLEY,20,"0,124"
874,ASTRID ELENA,20,"0,124"
875,BERTHA,20,"0,124"
876,BLANCA LUCIA,20,"0,124"
877,BLANCA NIDIA,20,"0,124"
878,CAROLINA ANDREA,20,"0,124"
879,CLAUDIA JANETH,20,"0,124"
880,DALILA,20,"0,124"
881,DORA ELENA,20,"0,124"
882,DORA MILENA,20,"0,124"
883,ELIANA CAROLINA,20,"0,124"
884,EUCARIS,20,"0,124"
885,FLOR MARINA,20,"0,124"
886,FRANCIA,20,"0,124"
887,FRANCY LORENA,20,"0,124"
888,HILDA MARIA,20,"0,124"
889,JENNY FERNANDA,20,"0,124"
890,KAREN DAHIANA,20,"0,124"
891,LAURA MANUELA,20,"0,124"
892,LUZ ENID,20,"0,124"
893,LUZ FANNY,20,"0,124"
894,LUZ VIVIANA,20,"0,124"
895,LUZ YANETH,20,"0,124"
896,MARGOTH,20,"0,124"
897,MARIA ADELAIDA,20,"0,124"
898,MARIA ANGELA,20,"0,124"
899,MARIA CELESTE,20,"0,124"
900,MARIA LUCILA,20,"0,124"
901,MARIA NIDIA,20,"0,124"
902,MARIA RUBY,20,"0,124"
903,MIRIAN,20,"0,124"
904,MYRIAN,20,"0,124"
905,OLIVA,20,"0,124"
906,ORFILIA,20,"0,124"
907,SANDRA CATALINA,20,"0,124"
908,TRINIDAD,20,"0,124"
909,VIRGINIA,20,"0,124"
910,YAJAIRA,20,"0,124"
911,YENNY MARCELA,20,"0,124"
912,YENY PAOLA,20,"0,124"
913,YINETH,20,"0,124"
914,ALBA PATRICIA,19,"0,118"
915,AMANDA LUCIA,19,"0,118"
916,AMELIA,19,"0,118"
917,ANA DELIA,19,"0,118"
918,ANA JUDITH,19,"0,118"
919,ANDREA CATALINA,19,"0,118"
920,ANGELICA PATRICIA,19,"0,118"
921,ASTRID,19,"0,118"
922,BIBIANA PATRICIA,19,"0,118"
923,BLANCA STELLA,19,"0,118"
924,CAROL ANDREA,19,"0,118"
925,CAROLINA MARIA,19,"0,118"
926,CELMIRA,19,"0,118"
927,CINDY JOHANNA,19,"0,118"
928,CLARA ISABEL,19,"0,118"
929,CLARA ROSA,19,"0,118"
930,CLAUDIA INES,19,"0,118"
931,CLAUDIA ROCIO,19,"0,118"
932,DORA ALICIA,19,"0,118"
933,ERIKA ALEXANDRA,19,"0,118"
934,ERIKA NATALIA,19,"0,118"
935,ERIKA PAOLA,19,"0,118"
936,EUNICE,19,"0,118"
937,GISELA,19,"0,118"
938,HILDA,19,"0,118"
939,INGRID JOHANA,19,"0,118"
940,JENNIFER ALEXANDRA,19,"0,118"
941,JOHANNA PATRICIA,19,"0,118"
942,JULIE ANDREA,19,"0,118"
943,KAREN JOHANNA,19,"0,118"
944,KELLY JULIETH,19,"0,118"
945,LAURA ESTEFANIA,19,"0,118"
946,LEIDY DANIELA,19,"0,118"
947,LEIDY LAURA,19,"0,118"
948,LILIBETH,19,"0,118"
949,LINA CONSTANZA,19,"0,118"
950,LINA JOHANNA,19,"0,118"
951,LIZETH DAYANA,19,"0,118"
952,LORENA ANDREA,19,"0,118"
953,MARIA ADIELA,19,"0,118"
954,MARIA EMMA,19,"0,118"
955,MARIA JIMENA,19,"0,118"
956,MARIA SOLEDAD,19,"0,118"
957,MARIA TRINIDAD,19,"0,118"
958,MARTHA LIGIA,19,"0,118"
959,MARYORY,19,"0,118"
960,MILLERLANDY,19,"0,118"
961,MONICA ISABEL,19,"0,118"
962,OLGA INES,19,"0,118"
963,ROCIO PILAR,19,"0,118"
964,ROSA AMELIA,19,"0,118"
965,ROSMERY,19,"0,118"
966,SANDRA CECILIA,19,"0,118"
967,SOLEDAD,19,"0,118"
968,TATIANA MARIA,19,"0,118"
969,VIVIANA CAROLINA,19,"0,118"
970,YERALDINE,19,"0,118"
971,YURANY ANDREA,19,"0,118"
972,YURI TATIANA,19,"0,118"
973,ZULAY,19,"0,118"
974,ADRIANA CAROLINA,18,"0,112"
975,ALCIRA,18,"0,112"
976,AMPARO SOCORRO,18,"0,112"
977,ANA LUISA,18,"0,112"
978,ANA RUTH,18,"0,112"
979,ANGELA ANDREA,18,"0,112"
980,ARIANNA,18,"0,112"
981,AURA,18,"0,112"
982,CHARLOTTE,18,"0,112"
983,CHLOE,18,"0,112"
984,CLARIBEL,18,"0,112"
985,DANNA CAMILA,18,"0,112"
986,DEISY LORENA,18,"0,112"
987,GLORIA MARCELA,18,"0,112"
988,HELENA,18,"0,112"
989,HILLARY,18,"0,112"
990,JENNIFER TATIANA,18,"0,112"
991,JOHANA ALEXANDRA,18,"0,112"
992,JOHANA PATRICIA,18,"0,112"
993,KAREN ALEXANDRA,18,"0,112"
994,KAREN JULIANA,18,"0,112"
995,KAREN NATALIA,18,"0,112"
996,KAREN YULIETH,18,"0,112"
997,LEYDI YOHANA,18,"0,112"
998,LIZETH PAOLA,18,"0,112"
999,LUNA SOFIA,18,"0,112"
1000,LUZ JANETH,18,"0,112"
1001,MARIA ALEYDA,18,"0,112"
1002,MARIA LETICIA,18,"0,112"
1003,MARIA OMAIRA,18,"0,112"
1004,MARIA SONIA,18,"0,112"
1005,MARYLUZ,18,"0,112"
1006,MAYERLI,18,"0,112"
1007,MELANNY,18,"0,112"
1008,MONICA PILAR,18,"0,112"
1009,NANCY ELENA,18,"0,112"
1010,NELSY,18,"0,112"
1011,NORA ELENA,18,"0,112"
1012,SAMANTA,18,"0,112"
1013,SANDRA YULIETH,18,"0,112"
1014,SARA GABRIELA,18,"0,112"
1015,VIVIAN ANDREA,18,"0,112"
1016,YENNY PATRICIA,18,"0,112"
1017,YESSICA ALEXANDRA,18,"0,112"
1018,YURI VIVIANA,18,"0,112"
1019,AMALFI,17,"0,106"
1020,ANA KARINA,17,"0,106"
1021,ANDREA MILENA,17,"0,106"
1022,ANGELA ROCIO,17,"0,106"
1023,ANGIE DAYANA,17,"0,106"
1024,BLANCA LIGIA,17,"0,106"
1025,CARLINA,17,"0,106"
1026,CAROL DAYANA,17,"0,106"
1027,CLAUDIA ISABEL,17,"0,106"
1028,CONCEPCION,17,"0,106"
1029,DANNA ALEJANDRA,17,"0,106"
1030,DORIS ELENA,17,"0,106"
1031,ELSA MARIA,17,"0,106"
1032,EMPERATRIZ,17,"0,106"
1033,ERICA,17,"0,106"
1034,FAISURY,17,"0,106"
1035,HELEN,17,"0,106"
1036,JANNETH,17,"0,106"
1037,JOHANNA ALEXANDRA,17,"0,106"
1038,JOHANNA MARIA,17,"0,106"
1039,JOHANNA MILENA,17,"0,106"
1040,JULIETH TATIANA,17,"0,106"
1041,KAREN MILENA,17,"0,106"
1042,KATERIN,17,"0,106"
1043,LAURA JIMENA,17,"0,106"
1044,LEIDY ANDREA,17,"0,106"
1045,LINA JOHANA,17,"0,106"
1046,LIZETH DANIELA,17,"0,106"
1047,LUZ EDILMA,17,"0,106"
1048,MARIA CIELO,17,"0,106"
1049,MARIA LUCY,17,"0,106"
1050,MARIA ZORAIDA,17,"0,106"
1051,MARIANA SOFIA,17,"0,106"
1052,MARTA ISABEL,17,"0,106"
1053,MONICA BIBIANA,17,"0,106"
1054,NATALIA CAROLINA,17,"0,106"
1055,NATHALIA ANDREA,17,"0,106"
1056,OLGA BEATRIZ,17,"0,106"
1057,PATRICIA EUGENIA,17,"0,106"
1058,PAULA VALENTINA,17,"0,106"
1059,SANDRA CRISTINA,17,"0,106"
1060,SARAI,17,"0,106"
1061,STEFFANY,17,"0,106"
1062,TERESITA,17,"0,106"
1063,TERESITA JESUS,17,"0,106"
1064,VERONICA MARIA,17,"0,106"
1065,YENNY LORENA,17,"0,106"
1066,YESICA ANDREA,17,"0,106"
1067,YINA MARCELA,17,"0,106"
1068,ZOE,17,"0,106"
1069,ADELA,16,"0,099"
1070,ADRIANA ISABEL,16,"0,099"
1071,ALBA MARIA,16,"0,099"
1072,ANDREA STEFANIA,16,"0,099"
1073,ANGIE XIMENA,16,"0,099"
1074,ANYELA,16,"0,099"
1075,BLANCA AURORA,16,"0,099"
1076,BLANCA FLOR,16,"0,099"
1077,BLANCA OLIVA,16,"0,099"
1078,CARMEN LUCIA,16,"0,099"
1079,CRISTINA ISABEL,16,"0,099"
1080,DORA ISABEL,16,"0,099"
1081,EMILIANA,16,"0,099"
1082,ERIKA LORENA,16,"0,099"
1083,ERIKA YULIETH,16,"0,099"
1084,GINA ALEXANDRA,16,"0,099"
1085,INGRID MARCELA,16,"0,099"
1086,JOHANA CAROLINA,16,"0,099"
1087,KAREN PAOLA,16,"0,099"
1088,KAROL,16,"0,099"
1089,LADY CAROLINA,16,"0,099"
1090,LADY KATHERINE,16,"0,099"
1091,LEYDI CAROLINA,16,"0,099"
1092,LINA,16,"0,099"
1093,LIZBETH,16,"0,099"
1094,LUZ ELIANA,16,"0,099"
1095,LUZ MIRIAN,16,"0,099"
1096,LUZ NIDIA,16,"0,099"
1097,MARIA ESNEDA,16,"0,099"
1098,MARIA LOURDES,16,"0,099"
1099,MARIA NELSY,16,"0,099"
1100,MARTHA JANETH,16,"0,099"
1101,MARTHA VIVIANA,16,"0,099"
1102,MICHELLE ANDREA,16,"0,099"
1103,MONICA PAOLA,16,"0,099"
1104,NICOL ANDREA,16,"0,099"
1105,NOA,16,"0,099"
1106,NOHORA,16,"0,099"
1107,OTILIA,16,"0,099"
1108,SANDRA JULIETH,16,"0,099"
1109,SANDRA ROCIO,16,"0,099"
1110,SHARON,16,"0,099"
1111,SILVIA MARIA,16,"0,099"
1112,SINDY JOHANA,16,"0,099"
1113,VIRGELINA,16,"0,099"
1114,YENIFFER,16,"0,099"
1115,YORLADY,16,"0,099"
1116,YULI MARCELA,16,"0,099"
1117,YULI PAOLA,16,"0,099"
1118,ANA BOLENA,15,"0,093"
1119,ANA CATALINA,15,"0,093"
1120,ANDREA JULIANA,15,"0,093"
1121,ANGIE ALEXANDRA,15,"0,093"
1122,ANYI LORENA,15,"0,093"
1123,AZUCENA,15,"0,093"
1124,BLANCA,15,"0,093"
1125,BLANCA ISABEL,15,"0,093"
1126,CARMEN LILIANA,15,"0,093"
1127,CARMEN TULIA,15,"0,093"
1128,CLARA MARIA,15,"0,093"
1129,CLAUDIA CRISTINA,15,"0,093"
1130,CLAUDIA LUCIA,15,"0,093"
1131,DAYANA CAROLINA,15,"0,093"
1132,DIANA MARGARITA,15,"0,093"
1133,DIANA PILAR,15,"0,093"
1134,EDILIA,15,"0,093"
1135,ELSY,15,"0,093"
1136,EMELY,15,"0,093"
1137,EMILSE,15,"0,093"
1138,EVANGELINA,15,"0,093"
1139,FRANCIA HELENA,15,"0,093"
1140,FRANCIA MILENA,15,"0,093"
1141,GABRIELLA,15,"0,093"
1142,GLORIA ESTELA,15,"0,093"
1143,ISAURA,15,"0,093"
1144,IVONNE,15,"0,093"
1145,JENNY KATHERINE,15,"0,093"
1146,JESSICA NATALIA,15,"0,093"
1147,JESSICA VIVIANA,15,"0,093"
1148,JOHANNA CAROLINA,15,"0,093"
1149,KAREN MARGARITA,15,"0,093"
1150,KAREN YULIANA,15,"0,093"
1151,KATALINA,15,"0,093"
1152,KELLY ALEJANDRA,15,"0,093"
1153,KELLY YOHANA,15,"0,093"
1154,LAURA ALEXANDRA,15,"0,093"
1155,LAURA LUCIA,15,"0,093"
1156,LAURA PAOLA,15,"0,093"
1157,LEIDY DAYANA,15,"0,093"
1158,LEIDY PATRICIA,15,"0,093"
1159,LEYDY JOHANA,15,"0,093"
1160,LEYDY TATIANA,15,"0,093"
1161,LINA ALEXANDRA,15,"0,093"
1162,LISBETH,15,"0,093"
1163,LIZETH FERNANDA,15,"0,093"
1164,LIZETH VANESSA,15,"0,093"
1165,LUZ MARIELA,15,"0,093"
1166,LUZ MARLENY,15,"0,093"
1167,MAGDA LORENA,15,"0,093"
1168,MARIA ALICIA,15,"0,093"
1169,MARIA AMANDA,15,"0,093"
1170,MARIA ARGENIS,15,"0,093"
1171,MARIA GUADALUPE,15,"0,093"
1172,MARIA JUDITH,15,"0,093"
1173,MARIA LUDIVIA,15,"0,093"
1174,MARTA ELENA,15,"0,093"
1175,NAIARA,15,"0,093"
1176,NOHEMI,15,"0,093"
1177,OLGA ROCIO,15,"0,093"
1178,ROMELIA,15,"0,093"
1179,ROXANA,15,"0,093"
1180,SONIA MARIA,15,"0,093"
1181,YAMILED,15,"0,093"
1182,YEIMY,15,"0,093"
1183,YENIFER ANDREA,15,"0,093"
1184,YENNY CAROLINA,15,"0,093"
1185,YESSICA LORENA,15,"0,093"
1186,YURANI ANDREA,15,"0,093"
1187,AIDA LUZ,14,"0,087"
1188,AIDEE,14,"0,087"
1189,ALBA INES,14,"0,087"
1190,ANA DOLORES,14,"0,087"
1191,ANA ROCIO,14,"0,087"
1192,ANGIE YULIETH,14,"0,087"
1193,ARELIS,14,"0,087"
1194,AURA ROSA,14,"0,087"
1195,BELEN,14,"0,087"
1196,BLANCA ROSA,14,"0,087"
1197,CARMEN PATRICIA,14,"0,087"
1198,CINDY JOHANA,14,"0,087"
1199,CINDY VIVIANA,14,"0,087"
1200,CLARENA,14,"0,087"
1201,CLAUDIA MERCEDES,14,"0,087"
1202,DANNA VALERIA,14,"0,087"
1203,DAYANA ANDREA,14,"0,087"
1204,DIANA ELIZABETH,14,"0,087"
1205,DIANA JULIETH,14,"0,087"
1206,DIANA MERCEDES,14,"0,087"
1207,DOLORES,14,"0,087"
1208,DORA CECILIA,14,"0,087"
1209,DORA LILIANA,14,"0,087"
1210,ESTELA,14,"0,087"
1211,GIOVANNA,14,"0,087"
1212,GLADYS ELENA,14,"0,087"
1213,GLORIA ESTELLA,14,"0,087"
1214,GUILLERMINA,14,"0,087"
1215,HANNAH,14,"0,087"
1216,HEIDY JOHANNA,14,"0,087"
1217,JAMILETH,14,"0,087"
1218,JOHANA ALEJANDRA,14,"0,087"
1219,JULIANA MARCELA,14,"0,087"
1220,LAURA MELISA,14,"0,087"
1221,LEIDY ALEXANDRA,14,"0,087"
1222,LILIANA MARGARITA,14,"0,087"
1223,LIZETH TATIANA,14,"0,087"
1224,LORENA PATRICIA,14,"0,087"
1225,LUZ ALEJANDRA,14,"0,087"
1226,LUZ NANCY,14,"0,087"
1227,MABEL,14,"0,087"
1228,MARIA BELEN,14,"0,087"
1229,MARIA EUCARIS,14,"0,087"
1230,MARIA EUNICE,14,"0,087"
1231,MARIA JULIETA,14,"0,087"
1232,MARIA ROSA,14,"0,087"
1233,MARIA SOFIA,14,"0,087"
1234,MARIEN,14,"0,087"
1235,MARLENY SOCORRO,14,"0,087"
1236,MARLYN,14,"0,087"
1237,MICHELL,14,"0,087"
1238,MILENA PATRICIA,14,"0,087"
1239,MONICA FERNANDA,14,"0,087"
1240,MONICA JULIETH,14,"0,087"
1241,MONICA YANETH,14,"0,087"
1242,NICOLE ANDREA,14,"0,087"
1243,NICOLE DAYANA,14,"0,087"
1244,NORA MILENA,14,"0,087"
1245,ROSA DELIA,14,"0,087"
1246,SARA MILENA,14,"0,087"
1247,SILVIA LORENA,14,"0,087"
1248,SOLANGEL,14,"0,087"
1249,SONIA PATRICIA,14,"0,087"
1250,SORAIDA,14,"0,087"
1251,TATIANA PAOLA,14,"0,087"
1252,XIOMARA ANDREA,14,"0,087"
1253,YESICA LORENA,14,"0,087"
1254,YESSICA TATIANA,14,"0,087"
1255,YOMAIRA,14,"0,087"
1256,YULY PAOLA,14,"0,087"
1257,YULY TATIANA,14,"0,087"
1258,ZULMA,14,"0,087"
1259,ADRIANA ROCIO,13,"0,081"
1260,ALBA YANETH,13,"0,081"
1261,AMAIA,13,"0,081"
1262,ANA JESUS,13,"0,081"
1263,ANA LORENA,13,"0,081"
1264,ANDREA MARCELA,13,"0,081"
1265,ANGIE JULIANA,13,"0,081"
1266,BLANCA LUZ,13,"0,081"
1267,CARMEN SOFIA,13,"0,081"
1268,CAROL TATIANA,13,"0,081"
1269,CAROLINE,13,"0,081"
1270,CATALINA MARIA,13,"0,081"
1271,CINDY,13,"0,081"
1272,CLARA ELENA,13,"0,081"
1273,DANNA ISABELLA,13,"0,081"
1274,DERLY,13,"0,081"
1275,DIANA ANDREA,13,"0,081"
1276,EMERITA,13,"0,081"
1277,ERIKA MILENA,13,"0,081"
1278,FRANCY MILENA,13,"0,081"
1279,GLORIA JANETH,13,"0,081"
1280,HEIDY JOHANA,13,"0,081"
1281,INDIRA,13,"0,081"
1282,IVONNE MARITZA,13,"0,081"
1283,JENIFER ANDREA,13,"0,081"
1284,JESSICA JOHANNA,13,"0,081"
1285,JOHANA PAOLA,13,"0,081"
1286,JULIETH ALEXANDRA,13,"0,081"
1287,JULY VANESSA,13,"0,081"
1288,KAREN PATRICIA,13,"0,081"
1289,KAROL VIVIANA,13,"0,081"
1290,KELLY JHOANA,13,"0,081"
1291,LAURA KATHERINE,13,"0,081"
1292,LICETH,13,"0,081"
1293,LIDA,13,"0,081"
1294,LIDIA,13,"0,081"
1295,LUCIDIA,13,"0,081"
1296,LUZ AMALIA,13,"0,081"
1297,MADELEYNE,13,"0,081"
1298,MAITE,13,"0,081"
1299,MARIA ALEIDA,13,"0,081"
1300,MARIA BETTY,13,"0,081"
1301,MARIA ESTELA,13,"0,081"
1302,MARIA IDALBA,13,"0,081"
1303,MARIA NOHEMY,13,"0,081"
1304,MARIA ROMELIA,13,"0,081"
1305,MARIA SANDRA,13,"0,081"
1306,MARIA VERONICA,13,"0,081"
1307,MARILU,13,"0,081"
1308,MARISEL,13,"0,081"
1309,MARTHA CAROLINA,13,"0,081"
1310,MARTHA LORENA,13,"0,081"
1311,MARTHA MILENA,13,"0,081"
1312,MARTHA NELLY,13,"0,081"
1313,MONICA JOHANNA,13,"0,081"
1314,MONICA MILENA,13,"0,081"
1315,NASLY,13,"0,081"
1316,NORMA LILIANA,13,"0,081"
1317,REBECA,13,"0,081"
1318,RENATA,13,"0,081"
1319,ROSALBINA,13,"0,081"
1320,RUBY STELLA,13,"0,081"
1321,SANDRA JIMENA,13,"0,081"
1322,SARA ALEJANDRA,13,"0,081"
1323,SONIA ESPERANZA,13,"0,081"
1324,VANESSA ALEJANDRA,13,"0,081"
1325,VIVIANA PAOLA,13,"0,081"
1326,YENI,13,"0,081"
1327,YENY,13,"0,081"
1328,YULIANA MARIA,13,"0,081"
1329,ADELINA,12,"0,075"
1330,ADRIANA PAOLA,12,"0,075"
1331,AIDA,12,"0,075"
1332,ALBA,12,"0,075"
1333,ALBA CECILIA,12,"0,075"
1334,ALBA ROSA,12,"0,075"
1335,ALIX,12,"0,075"
1336,AMINTA,12,"0,075"
1337,AMPARO JESUS,12,"0,075"
1338,ANA RITA,12,"0,075"
1339,ANGIE VANESA,12,"0,075"
1340,ANYI PAOLA,12,"0,075"
1341,AVRIL,12,"0,075"
1342,CARMELINA,12,"0,075"
1343,CENAIDA,12,"0,075"
1344,CINDY CAROLINA,12,"0,075"
1345,CLAUDIA BIBIANA,12,"0,075"
1346,CLAUDIA MARITZA,12,"0,075"
1347,CLAUDIA PAOLA,12,"0,075"
1348,DANIELA SOFIA,12,"0,075"
1349,DAYANA ALEJANDRA,12,"0,075"
1350,DIANA KARINA,12,"0,075"
1351,DIANA VANESA,12,"0,075"
1352,DINA LUZ,12,"0,075"
1353,DORA LIBIA,12,"0,075"
1354,EFIGENIA,12,"0,075"
1355,ELENA PATRICIA,12,"0,075"
1356,ELIANA PAOLA,12,"0,075"
1357,ELISABET,12,"0,075"
1358,ELIZABETH CRISTINA,12,"0,075"
1359,ERICA MARIA,12,"0,075"
1360,FRANCY LILIANA,12,"0,075"
1361,GEORGINA,12,"0,075"
1362,GLADYS MARIA,12,"0,075"
1363,GLADYS PATRICIA,12,"0,075"
1364,GLADYS STELLA,12,"0,075"
1365,GLORIA ANDREA,12,"0,075"
1366,GLORIA ANGELICA,12,"0,075"
1367,GLORIA CRISTINA,12,"0,075"
1368,GUIOMAR,12,"0,075"
1369,HEIDY TATIANA,12,"0,075"
1370,HELLEN,12,"0,075"
1371,INGRID KATHERINE,12,"0,075"
1372,INGRID VIVIANA,12,"0,075"
1373,JENNY TATIANA,12,"0,075"
1374,JULIETH ALEJANDRA,12,"0,075"
1375,KAREN JOHANA,12,"0,075"
1376,KAREN VALENTINA,12,"0,075"
1377,KARINA ANDREA,12,"0,075"
1378,KAROLINA,12,"0,075"
1379,KATHERINE ANDREA,12,"0,075"
1380,KATHERYN,12,"0,075"
1381,KELLY,12,"0,075"
1382,LADY JOANA,12,"0,075"
1383,LADY VANESSA,12,"0,075"
1384,LAURA JOHANA,12,"0,075"
1385,LEIDY JHOANNA,12,"0,075"
1386,LEYDI,12,"0,075"
1387,LIZETH JOHANNA,12,"0,075"
1388,LUZ DAMARIS,12,"0,075"
1389,LUZ MIREYA,12,"0,075"
1390,MARIA CONCEPCION,12,"0,075"
1391,MARIA EDELMIRA,12,"0,075"
1392,MARIA EDILIA,12,"0,075"
1393,MARIA ELSY,12,"0,075"
1394,MARIA ORFILIA,12,"0,075"
1395,MARIANELA,12,"0,075"
1396,MARTHA LUCY,12,"0,075"
1397,MILDRED,12,"0,075"
1398,MILEIDY,12,"0,075"
1399,MONICA ROCIO,12,"0,075"
1400,NANCY MILENA,12,"0,075"
1401,NAOMI,12,"0,075"
1402,NATALIA ISABEL,12,"0,075"
1403,NICOLLE ANDREA,12,"0,075"
1404,NOHELIA,12,"0,075"
1405,NUBIA STELLA,12,"0,075"
1406,OFIR,12,"0,075"
1407,OLIVIA,12,"0,075"
1408,ORFELINA,12,"0,075"
1409,PAOLA ALEXANDRA,12,"0,075"
1410,PAULA TATIANA,12,"0,075"
1411,SANDRA ELENA,12,"0,075"
1412,SARA DANIELA,12,"0,075"
1413,SARA INES,12,"0,075"
1414,SARA MANUELA,12,"0,075"
1415,STEPHANNY,12,"0,075"
1416,STHEFANIA,12,"0,075"
1417,TAMARA,12,"0,075"
1418,TATIANA MARCELA,12,"0,075"
1419,WENDY,12,"0,075"
1420,WENDY LORENA,12,"0,075"
1421,YAKELINE,12,"0,075"
1422,YAMILE ANDREA,12,"0,075"
1423,YESICA MARIA,12,"0,075"
1424,YOHANA ANDREA,12,"0,075"
1425,YOLANDA MARIA,12,"0,075"
1426,YOLANDA PATRICIA,12,"0,075"
1427,YOSELIN,12,"0,075"
1428,YULI VANESSA,12,"0,075"
1429,YULY,12,"0,075"
1430,YURLEY,12,"0,075"
1431,ADRIANA SOCORRO,11,"0,068"
1432,AINHARA,11,"0,068"
1433,ALANA,11,"0,068"
1434,ALEXA,11,"0,068"
