N¼,Nombre,Total,Por mil (ä)
181,KELLY JOHANNA,103,"0,640"
182,MARIA CONSUELO,103,"0,640"
183,XIMENA,103,"0,640"
184,CECILIA,102,"0,634"
185,JULIETA,102,"0,634"
186,MARIA SOCORRO,101,"0,627"
187,KAREN,100,"0,621"
188,YAMILE,100,"0,621"
189,EVELYN,99,"0,615"
190,NUBIA,99,"0,615"
191,ROSA MARIA,99,"0,615"
192,SANDRA MARCELA,99,"0,615"
193,ANDREA CAROLINA,98,"0,609"
194,LADY JOHANNA,98,"0,609"
195,OLGA PATRICIA,98,"0,609"
196,ROCIO,98,"0,609"
197,CARMEN ROSA,97,"0,602"
198,GRACIELA,97,"0,602"
199,LAURA VANESSA,97,"0,602"
200,MERCEDES,97,"0,602"
201,LUCERO,96,"0,596"
202,STEPHANY,96,"0,596"
203,MELANY,95,"0,590"
204,ANGIE PAOLA,94,"0,584"
205,LUZ ESTELLA,94,"0,584"
206,JULIANA ANDREA,93,"0,578"
207,STEPHANIA,93,"0,578"
208,CATHERINE,92,"0,571"
209,CLAUDIA MARIA,92,"0,571"
210,MARIA ANTONIA,92,"0,571"
211,OMAIRA,92,"0,571"
212,JESSICA ALEJANDRA,91,"0,565"
213,MARIA CECILIA,91,"0,565"
214,MARIA LILIANA,91,"0,565"
215,MARIA LUISA,91,"0,565"
216,STEFANY,91,"0,565"
217,SUSANA,90,"0,559"
218,XIOMARA,90,"0,559"
219,ANA ISABEL,89,"0,553"
220,ANGIE LORENA,89,"0,553"
221,ANGIE TATIANA,89,"0,553"
222,JUANITA,89,"0,553"
223,MARIA MERCEDES,89,"0,553"
224,MARIA ROSARIO,89,"0,553"
225,MARICELA,89,"0,553"
226,MARIA PATRICIA,88,"0,547"
227,PAOLA,88,"0,547"
228,DAYANA,87,"0,540"
229,LAURA CRISTINA,87,"0,540"
230,MARIA CAROLINA,87,"0,540"
231,SANDRA VIVIANA,87,"0,540"
232,AURA MARIA,86,"0,534"
233,CLAUDIA LILIANA,86,"0,534"
234,LUZ MARIA,86,"0,534"
235,CARMENZA,85,"0,528"
236,MARTINA,85,"0,528"
237,ANGIE CAROLINA,84,"0,522"
238,CRISTINA,84,"0,522"
239,NATHALY,84,"0,522"
240,ALICIA,83,"0,516"
241,LUCELLY,83,"0,516"
242,NIDIA,83,"0,516"
243,LAURA MARIA,82,"0,509"
244,LUCIA,82,"0,509"
245,MARILUZ,82,"0,509"
246,NORALBA,82,"0,509"
247,YENIFER,82,"0,509"
248,ANA CRISTINA,81,"0,503"
249,LEONOR,81,"0,503"
250,MARIA INES,81,"0,503"
251,TERESA,81,"0,503"
252,ESMERALDA,80,"0,497"
253,OLGA,80,"0,497"
254,ANA CECILIA,79,"0,491"
255,LEIDY VANESSA,79,"0,491"
256,SARAY,79,"0,491"
257,SHIRLEY,78,"0,484"
258,SILVANA,78,"0,484"
259,YULIANA ANDREA,78,"0,484"
260,BEATRIZ EUGENIA,77,"0,478"
261,ROSA ELENA,77,"0,478"
262,GLORIA NANCY,76,"0,472"
263,JOHANA,76,"0,472"
264,MONICA PATRICIA,76,"0,472"
265,NICOLE,76,"0,472"
266,TERESA JESUS,76,"0,472"
267,BLANCA CECILIA,75,"0,466"
268,LUZ KARIME,75,"0,466"
269,MARIA AMPARO,75,"0,466"
270,MARINA,75,"0,466"
271,MARLENE,75,"0,466"
272,MARIA YOLANDA,74,"0,460"
273,MIRIAM,74,"0,460"
274,ANGIE DANIELA,73,"0,453"
275,CELESTE,73,"0,453"
276,DANIELA ALEJANDRA,73,"0,453"
277,KAREN DAYANA,73,"0,453"
278,MARTHA,73,"0,453"
279,MIREYA,73,"0,453"
280,MONICA ALEJANDRA,73,"0,453"
281,CAMILA ANDREA,72,"0,447"
282,JOHANNA ANDREA,72,"0,447"
283,KATHERIN,72,"0,447"
284,MAGNOLIA,72,"0,447"
285,MARTA CECILIA,72,"0,447"
286,STEPHANIE,72,"0,447"
287,DIANA ALEJANDRA,71,"0,441"
288,JAQUELINE,71,"0,441"
289,JENNY PAOLA,71,"0,441"
290,MARIA NELLY,71,"0,441"
291,YENNY,71,"0,441"
292,ZORAIDA,70,"0,435"
293,LEIDY CAROLINA,69,"0,429"
294,MARIA,69,"0,429"
295,PAULINA,68,"0,422"
296,AINHOA,67,"0,416"
297,JULIETH,67,"0,416"
298,LAURA ANDREA,67,"0,416"
299,MARIA GLADYS,67,"0,416"
300,MARTA LUCIA,67,"0,416"
301,SANDRA MARIA,67,"0,416"
302,YERALDIN,67,"0,416"
303,ADIELA,66,"0,410"
304,ANDREA PILAR,66,"0,410"
305,CLAUDIA XIMENA,66,"0,410"
306,DIANA LUCIA,66,"0,410"
307,LINA FERNANDA,66,"0,410"
308,ANGIE KATHERINE,65,"0,404"
309,GLORIA CECILIA,65,"0,404"
310,LIGIA,65,"0,404"
311,MARIANGEL,65,"0,404"
312,ESTEFANY,64,"0,398"
313,KAREN TATIANA,64,"0,398"
314,KARINA,64,"0,398"
315,MARIA ESPERANZA,64,"0,398"
316,MARIA RUBIELA,64,"0,398"
317,JENIFFER,63,"0,391"
318,JENNY,63,"0,391"
319,KAREN DANIELA,63,"0,391"
320,LAURA ISABEL,63,"0,391"
321,LUZ ESTELA,63,"0,391"
322,MARIA CLAUDIA,63,"0,391"
323,YULI ANDREA,63,"0,391"
324,ELIANA MARCELA,62,"0,385"
325,JENIFER,62,"0,385"
326,LUCY,62,"0,385"
327,MARICEL,62,"0,385"
328,YESSICA,62,"0,385"
329,BIBIANA,61,"0,379"
330,DAMARIS,61,"0,379"
331,DULCE MARIA,61,"0,379"
332,KAREN ANDREA,61,"0,379"
333,LUZ AIDA,61,"0,379"
334,MARIA MARGARITA,61,"0,379"
335,MARIA NANCY,61,"0,379"
336,ANGELA,60,"0,373"
337,KAREN LIZETH,60,"0,373"
338,LINA VANESSA,60,"0,373"
339,JOHANA ANDREA,59,"0,366"
340,LUZ NELLY,59,"0,366"
341,OFELIA,59,"0,366"
342,YOLIMA,59,"0,366"
343,BLANCA NUBIA,58,"0,360"
344,MARIA ALEXANDRA,58,"0,360"
345,MONICA ALEXANDRA,58,"0,360"
346,JESSICA PAOLA,57,"0,354"
347,MICHELLE,57,"0,354"
348,VIVIANA MARCELA,57,"0,354"
349,KAREN LORENA,56,"0,348"
350,LEIDY LORENA,56,"0,348"
351,YENNIFER,56,"0,348"
352,YULY ANDREA,56,"0,348"
353,DEYANIRA,55,"0,342"
354,DORA LILIA,55,"0,342"
355,ELIANA MARIA,55,"0,342"
356,GERALDIN,55,"0,342"
357,GINA PAOLA,55,"0,342"
358,GLORIA MARIA,55,"0,342"
359,GUADALUPE,55,"0,342"
360,SARA VALENTINA,55,"0,342"
361,ANGIE VANESSA,54,"0,335"
362,ERIKA ANDREA,54,"0,335"
363,STELLA,54,"0,335"
364,YASMIN,54,"0,335"
365,ALEYDA,53,"0,329"
366,ANGIE LIZETH,53,"0,329"
367,CARMEN ELISA,53,"0,329"
368,DAHIANA,53,"0,329"
369,DIANA ALEXANDRA,53,"0,329"
370,LUCILA,53,"0,329"
371,LUZ EDITH,53,"0,329"
372,LUZ MYRIAM,53,"0,329"
373,MAYERLY,53,"0,329"
374,CARMEN ELENA,52,"0,323"
375,DIANA CRISTINA,52,"0,323"
376,DIANA FERNANDA,52,"0,323"
377,ERIKA TATIANA,52,"0,323"
378,FRANCY ELENA,52,"0,323"
379,GLORIA STELLA,52,"0,323"
380,INES,52,"0,323"
381,JESSICA LORENA,52,"0,323"
382,LUZ ANDREA,52,"0,323"
383,MARIA HELENA,52,"0,323"
384,MARYURI,52,"0,323"
385,RUTH,52,"0,323"
386,ADRIANA MARCELA,51,"0,317"
387,DIANA ISABEL,51,"0,317"
388,EDILMA,51,"0,317"
389,INGRID TATIANA,51,"0,317"
390,MARIA PAULINA,51,"0,317"
391,NATALI,51,"0,317"
392,STEFANNY,51,"0,317"
393,ANA CAROLINA,50,"0,311"
394,GLORIA ESPERANZA,50,"0,311"
395,LUZ ANGELICA,50,"0,311"
396,NINI JOHANA,50,"0,311"
397,NORMA CONSTANZA,50,"0,311"
398,OLGA LILIANA,50,"0,311"
399,PAULA ALEJANDRA,50,"0,311"
400,YESICA,50,"0,311"
401,ARACELLY,49,"0,304"
402,CINDY LORENA,49,"0,304"
403,EDITH,49,"0,304"
