N§,Nombre,Total,Por mil (?)
2293,JOSEPH DANIEL,5,"0,038"
2294,JUAN ALEXANDER,5,"0,038"
2295,JUAN LEONARDO,5,"0,038"
2296,JUAN RAFAEL,5,"0,038"
2297,JUAN ROMAN,5,"0,038"
2298,JUAN SIMON,5,"0,038"
2299,JUAN VICENTE,5,"0,038"
2300,JULIAN ADOLFO,5,"0,038"
2301,JULIAN MATEO,5,"0,038"
2302,JULIO ALEJANDRO,5,"0,038"
2303,JULIO ROBERTO,5,"0,038"
2304,JUSTINIANO,5,"0,038"
2305,KEVIN JOHAN,5,"0,038"
2306,KEVIN NICOLAS,5,"0,038"
2307,KEVIN ORLANDO,5,"0,038"
2308,KYLIAN,5,"0,038"
2309,LEONARDO ESTEBAN,5,"0,038"
2310,LEONARDO FAVIO,5,"0,038"
2311,LIAM ANDRES,5,"0,038"
2312,LIAM DAVID,5,"0,038"
2313,LOGAN,5,"0,038"
2314,LUIS ALEXIS,5,"0,038"
2315,LUIS ARIEL,5,"0,038"
2316,LUIS DARIO,5,"0,038"
2317,LUIS GIOVANNY,5,"0,038"
2318,LUIS ROBERTO,5,"0,038"
2319,LUIS STEVEN,5,"0,038"
2320,MANUEL DARIO,5,"0,038"
2321,MANUEL ORLANDO,5,"0,038"
2322,MARC,5,"0,038"
2323,MARCO ANDRES,5,"0,038"
2324,MARIO DAVID,5,"0,038"
2325,MARIO HUMBERTO,5,"0,038"
2326,MARLON ENRIQUE,5,"0,038"
2327,MARLON FERNANDO,5,"0,038"
2328,MARTIN ALFONSO,5,"0,038"
2329,MAURICIO ORLANDO,5,"0,038"
2330,MAXIMO,5,"0,038"
2331,MICHAEL DANIEL,5,"0,038"
2332,MIGUEL ALBERTO,5,"0,038"
2333,MIGUEL ARTURO,5,"0,038"
2334,MIGUEL AUGUSTO,5,"0,038"
2335,MIGUEL MAURICIO,5,"0,038"
2336,MIKEL,5,"0,038"
2337,MILTON ALEXANDER,5,"0,038"
2338,MILTON JOSE,5,"0,038"
2339,MISAEL ANTONIO,5,"0,038"
2340,NELSON ALEXANDER,5,"0,038"
2341,NELSON AUGUSTO,5,"0,038"
2342,NELSON FELIPE,5,"0,038"
2343,NELSON HUMBERTO,5,"0,038"
2344,NELSON IVAN,5,"0,038"
2345,NELSON RODRIGO,5,"0,038"
2346,NESTOR EDUARDO,5,"0,038"
2347,NESTOR ENRIQUE,5,"0,038"
2348,NESTOR MAURICIO,5,"0,038"
2349,NICOLAS ALEXANDER,5,"0,038"
2350,NICOLAS EDUARDO,5,"0,038"
2351,NICOLAS FERNANDO,5,"0,038"
2352,NICOLAS FRANCISCO,5,"0,038"
2353,NICOLAS MAURICIO,5,"0,038"
2354,NIXON,5,"0,038"
2355,NOE,5,"0,038"
2356,OSCAR ADOLFO,5,"0,038"
2357,OSCAR GUILLERMO,5,"0,038"
2358,OSCAR JOSE,5,"0,038"
2359,PABLO ARTURO,5,"0,038"
2360,PABLO ESTEBAN,5,"0,038"
2361,PABLO FELIPE,5,"0,038"
2362,PAUL,5,"0,038"
2363,PAUL ANDRES,5,"0,038"
2364,PEDRO ALONSO,5,"0,038"
2365,PEDRO EMILIO,5,"0,038"
2366,PEDRO JESUS,5,"0,038"
2367,PEDRO JUAN,5,"0,038"
2368,RAFAEL DARIO,5,"0,038"
2369,RAFAEL IGNACIO,5,"0,038"
2370,RAFAEL JOSE,5,"0,038"
2371,RAMIRO JESUS,5,"0,038"
2372,RAMON EDUARDO,5,"0,038"
2373,RAUL ALEXANDER,5,"0,038"
2374,RAUL HERNAN,5,"0,038"
2375,RAY,5,"0,038"
2376,REYNEL,5,"0,038"
2377,RICARDO ALEXANDER,5,"0,038"
2378,RICARDO ELIAS,5,"0,038"
2379,RICHARD DAVID,5,"0,038"
2380,ROBERT ANDRES,5,"0,038"
2381,ROBERT ANTONIO,5,"0,038"
2382,ROBERTO ANDRES,5,"0,038"
2383,ROBERTO LUIS,5,"0,038"
2384,RODOLFO ANDRES,5,"0,038"
2385,RODRIGO IVAN,5,"0,038"
2386,ROGER ALEXANDER,5,"0,038"
2387,ROMULO,5,"0,038"
2388,ROOSEVELT,5,"0,038"
2389,RUBEN DAVID,5,"0,038"
2390,SANTIAGO DAVID,5,"0,038"
2391,SANTIAGO FELIPE,5,"0,038"
2392,SANTIAGO RAFAEL,5,"0,038"
2393,SAUL ANDRES,5,"0,038"
2394,SAUL ANTONIO,5,"0,038"
2395,SEAN PAUL,5,"0,038"
2396,SEBASTIAN ALBERTO,5,"0,038"
2397,SERGIO ANTONIO,5,"0,038"
2398,SERGIO ARMANDO,5,"0,038"
2399,STEVEN ALEXANDER,5,"0,038"
2400,THIAGO ALEXANDER,5,"0,038"
2401,THIAGO EMMANUEL,5,"0,038"
2402,TOBIAS,5,"0,038"
2403,URIEL ANTONIO,5,"0,038"
2404,URIEL JESUS,5,"0,038"
2405,VICTOR ENRIQUE,5,"0,038"
2406,VICTOR ESTEBAN,5,"0,038"
2407,WALTER ALBERTO,5,"0,038"
2408,WILLIAM ALFREDO,5,"0,038"
2409,WILLIAM DANIEL,5,"0,038"
2410,WILLIAM FELIPE,5,"0,038"
2411,WILLIAM ORLANDO,5,"0,038"
2412,WILLIAM RENE,5,"0,038"
2413,WILLIAN ALBERTO,5,"0,038"
2414,WILMER FABIAN,5,"0,038"
2415,YAMIL,5,"0,038"
2416,YERAY,5,"0,038"
